Alignment ID	RT	m.z	2022_12_30_neg_BK_Sfery_23_08_22_B_1_230106030156	2022_12_30_neg_BK_Sfery_23_08_22_B_10_230106082540	2022_12_30_neg_BK_Sfery_23_08_22_B_11_230106090129	2022_12_30_neg_BK_Sfery_23_08_22_B_12_230106093733	2022_12_30_neg_BK_Sfery_23_08_22_B_13_230106101334	2022_12_30_neg_BK_Sfery_23_08_22_B_14_230106104923	2022_12_30_neg_BK_Sfery_23_08_22_B_15_230106112527	2022_12_30_neg_BK_Sfery_23_08_22_B_16_230106120127	2022_12_30_neg_BK_Sfery_23_08_22_B_17_230106123717	2022_12_30_neg_BK_Sfery_23_08_22_B_18_230106131319	2022_12_30_neg_BK_Sfery_23_08_22_B_19_230106134912	2022_12_30_neg_BK_Sfery_23_08_22_B_2_230106033758	2022_12_30_neg_BK_Sfery_23_08_22_B_20_230106142513	2022_12_30_neg_BK_Sfery_23_08_22_B_21_230106150117	2022_12_30_neg_BK_Sfery_23_08_22_B_22_230106153722	2022_12_30_neg_BK_Sfery_23_08_22_B_23_230106161325	2022_12_30_neg_BK_Sfery_23_08_22_B_24_230106164931	2022_12_30_neg_BK_Sfery_23_08_22_B_3_230106041349	2022_12_30_neg_BK_Sfery_23_08_22_B_4_230106044950	2022_12_30_neg_BK_Sfery_23_08_22_B_5_230106052539	2022_12_30_neg_BK_Sfery_23_08_22_B_6_230106060143	2022_12_30_neg_BK_Sfery_23_08_22_B_7_230106063744	2022_12_30_neg_BK_Sfery_23_08_22_B_8_230106071333	2022_12_30_neg_BK_Sfery_23_08_22_B_9_230106074937	2022_12_30_neg_BK_Sfery_23_08_22_S_1_230105123700	2022_12_30_neg_BK_Sfery_23_08_22_S_10_230105180128	2022_12_30_neg_BK_Sfery_23_08_22_S_11_230105183731	2022_12_30_neg_BK_Sfery_23_08_22_S_12_230105191335	2022_12_30_neg_BK_Sfery_23_08_22_S_13_230105194938	2022_12_30_neg_BK_Sfery_23_08_22_S_14_230105202542	2022_12_30_neg_BK_Sfery_23_08_22_S_15_230105210147	2022_12_30_neg_BK_Sfery_23_08_22_S_16_230105213750	2022_12_30_neg_BK_Sfery_23_08_22_S_17_230105221352	2022_12_30_neg_BK_Sfery_23_08_22_S_18_230105224951	2022_12_30_neg_BK_Sfery_23_08_22_S_19_230105232554	2022_12_30_neg_BK_Sfery_23_08_22_S_2_230105131319	2022_12_30_neg_BK_Sfery_23_08_22_S_20_230106000158	2022_12_30_neg_BK_Sfery_23_08_22_S_21_230106003759	2022_12_30_neg_BK_Sfery_23_08_22_S_22_230106011404	2022_12_30_neg_BK_Sfery_23_08_22_S_23_230106015006	2022_12_30_neg_BK_Sfery_23_08_22_S_24_230106022607	2022_12_30_neg_BK_Sfery_23_08_22_S_3_230105134921	2022_12_30_neg_BK_Sfery_23_08_22_S_4_230105142510	2022_12_30_neg_BK_Sfery_23_08_22_S_5_230105150113	2022_12_30_neg_BK_Sfery_23_08_22_S_6_230105153717	2022_12_30_neg_BK_Sfery_23_08_22_S_7_230105161318	2022_12_30_neg_BK_Sfery_23_08_22_S_8_230105164921	2022_12_30_neg_BK_Sfery_23_08_22_S_9_230105172525
0	1.464	65.63137	0	0	0	0	0	0	0	0	236	0	0	0	0	1053	0	0	0	0	0	0	1218	0	0	0	40278	51828	30781	42020	45293	43341	36074	34240	33544	44988	35360	32618	28841	25337	23249	39700	35843	31792	44959	40123	39234	21070	19291	33632
1	1.467	66.07036	11182	10727	13143	12494	11967	11558	11538	14681	13355	11325	12421	11610	12145	11413	12936	13099	13356	12674	13583	13072	11726	12716	10919	14099	25194	22346	23121	27387	23661	24007	23027	23811	18975	25300	23411	22236	22672	23319	19882	23982	26728	24801	23180	24540	23566	24954	25433	24304
2	11.95	71.01393	8917	6760	2179	3979	4278	0	2804	3175	4628	5204	3253	8217	5604	3287	5910	616	4144	4166	4639	4542	6146	4107	5678	3366	44168	33256	48151	28426	36939	31660	32890	39633	29590	36050	28109	17930	25450	21345	34183	33917	31911	36389	18316	29460	33812	26179	21691	34350
3	5.019	71.01394	3704	4042	4388	1842	3436	4492	2802	4723	5992	5093	3987	6325	6555	4486	5398	4417	5067	4910	5177	5399	2617	4574	3352	4853	43372	23906	23484	35864	24471	32476	24958	34565	34815	24291	21363	14278	22020	16909	17727	26738	26788	24994	19795	33755	30418	26401	27307	30852
4	1.516	71.01395	407145	496003	415411	414195	473376	459699	467451	422332	494833	513982	457041	452049	462633	480405	550811	398108	559890	297360	347208	392467	424622	391947	392774	406520	81067	58131	57610	44398	75812	65164	78614	71915	68857	56613	75534	66184	82224	97572	119597	76294	81068	69431	65466	52883	78115	67886	69236	76099
5	1.517	72.99322	160030	186705	164028	149317	179406	158161	172560	176752	170931	170934	159288	181000	164851	185216	184960	149738	177910	123042	138578	142624	149616	144136	159162	154947	25962	17235	21032	21519	20235	29216	19264	19866	15912	18823	21646	27967	22741	25708	43287	26157	23465	20615	22728	20164	14967	34999	24539	31524
6	1.955	73.0296	309484	222115	347100	385075	367372	295335	275027	297829	190233	150929	158097	292934	189166	268507	180591	199770	177243	376446	306497	305696	304743	270049	279876	257956	28994	28063	30991	28584	33489	34333	42683	31992	40285	40176	35084	38936	31646	28199	35190	34803	38292	43435	35237	31798	37369	36434	30526	30834
7	1.842	73.02961	186411	176326	242084	246698	219763	184807	169997	186960	191530	148645	121161	188300	176303	158750	127221	123550	130429	203887	234456	204975	190016	213177	210579	175107	61234	63554	58906	53958	59748	62634	69191	57536	59622	67017	53516	60861	51595	44941	42273	54346	65919	64745	61511	55034	69989	58968	54657	62842
8	1.741	75.00887	1110054	1174816	1032571	1114968	1260094	1131455	1377914	1095008	633200	609609	846758	883603	961127	659805	682011	1068125	404799	1244514	1237854	1061898	1056948	1130669	1350349	899249	47578	42393	60195	45727	55159	68387	67014	71392	53962	65073	76141	46289	87914	123091	102924	84471	67238	75388	47670	51071	56247	66051	68212	66042
9	1.504	75.0089	1125778	1091602	931290	1028023	1065652	1054410	1265941	880807	536173	531429	738769	805516	800397	522362	557269	943546	361974	1212030	1242021	976073	1018886	949680	1154574	836030	38351	23539	46818	33800	32171	40569	52154	44914	38582	41643	46504	41850	39615	80208	68986	43820	51489	53572	33427	35439	50232	54440	56484	60058
