Alignment ID	RT	m.z	2022_12_30_pos_BK_Sfery_23_08_22_B_1_230102194605	2022_12_30_pos_BK_Sfery_23_08_22_B_10_230103011005	2022_12_30_pos_BK_Sfery_23_08_22_B_11_230103014609	2022_12_30_pos_BK_Sfery_23_08_22_B_12_230103022200	2022_12_30_pos_BK_Sfery_23_08_22_B_13_230103025801	2022_12_30_pos_BK_Sfery_23_08_22_B_14_230103033403	2022_12_30_pos_BK_Sfery_23_08_22_B_15_230103040949	2022_12_30_pos_BK_Sfery_23_08_22_B_16_230103044539	2022_12_30_pos_BK_Sfery_23_08_22_B_17_230103104719	2022_12_30_pos_BK_Sfery_23_08_22_B_18_230103112325	2022_12_30_pos_BK_Sfery_23_08_22_B_19_230103115923	2022_12_30_pos_BK_Sfery_23_08_22_B_2_230102202209	2022_12_30_pos_BK_Sfery_23_08_22_B_20_230103123513	2022_12_30_pos_BK_Sfery_23_08_22_B_21_230103131115	2022_12_30_pos_BK_Sfery_23_08_22_B_22_230103134708	2022_12_30_pos_BK_Sfery_23_08_22_B_23_230103142309	2022_12_30_pos_BK_Sfery_23_08_22_B_24_230103145912	2022_12_30_pos_BK_Sfery_23_08_22_B_3_230102205812	2022_12_30_pos_BK_Sfery_23_08_22_B_4_230102213401	2022_12_30_pos_BK_Sfery_23_08_22_B_5_230102221005	2022_12_30_pos_BK_Sfery_23_08_22_B_6_230102224606	2022_12_30_pos_BK_Sfery_23_08_22_B_7_230102232155	2022_12_30_pos_BK_Sfery_23_08_22_B_8_230102235759	2022_12_30_pos_BK_Sfery_23_08_22_B_9_230103003402	2022_12_30_pos_BK_Sfery_23_08_22_S_1_230102052256	2022_12_30_pos_BK_Sfery_23_08_22_S_10_230102104704	2022_12_30_pos_BK_Sfery_23_08_22_S_11_230102112253	2022_12_30_pos_BK_Sfery_23_08_22_S_12_230102115852	2022_12_30_pos_BK_Sfery_23_08_22_S_13_230102123442	2022_12_30_pos_BK_Sfery_23_08_22_S_14_230102131027	2022_12_30_pos_BK_Sfery_23_08_22_S_15_230102134615	2022_12_30_pos_BK_Sfery_23_08_22_S_16_230102142204	2022_12_30_pos_BK_Sfery_23_08_22_S_17_230102145755	2022_12_30_pos_BK_Sfery_23_08_22_S_18_230102153356	2022_12_30_pos_BK_Sfery_23_08_22_S_19_230102160945	2022_12_30_pos_BK_Sfery_23_08_22_S_2_230102055859	2022_12_30_pos_BK_Sfery_23_08_22_S_20_230102164549	2022_12_30_pos_BK_Sfery_23_08_22_S_21_230102172152	2022_12_30_pos_BK_Sfery_23_08_22_S_22_230102175755	2022_12_30_pos_BK_Sfery_23_08_22_S_23_230102183359	2022_12_30_pos_BK_Sfery_23_08_22_S_24_230102191002	2022_12_30_pos_BK_Sfery_23_08_22_S_3_230102063503	2022_12_30_pos_BK_Sfery_23_08_22_S_4_230102071102	2022_12_30_pos_BK_Sfery_23_08_22_S_5_230102074705	2022_12_30_pos_BK_Sfery_23_08_22_S_6_230102082309	2022_12_30_pos_BK_Sfery_23_08_22_S_7_230102085912	2022_12_30_pos_BK_Sfery_23_08_22_S_8_230102093513	2022_12_30_pos_BK_Sfery_23_08_22_S_9_230102101113
0	1.34	61.00679	3944748	5449958	5352259	4239412	4305786	6574112	6050123	6785958	6496374	6174945	6192820	3252884	4345157	4653607	6178872	5793236	4637190	4175491	5320468	3742155	4076848	6090705	3503966	3978956	508126	598709	416657	53835	4677204	2797557	2643715	3292757	4548661	3754223	5212836	56448	4485436	3525747	4672520	4804631	2724814	2405495	723512	16042	408327	581615	18698	1965452
1	1.296	62.01859	899532	1061170	1045766	932941	1088376	152300	881459	897200	561821	994431	911093	1093664	983343	928687	1013998	1016950	866870	934137	966502	905027	1082605	843001	983129	1016594	457107	619737	769413	515644	570269	605776	769624	708952	628846	681297	564323	694828	506624	583672	427998	501228	584991	641384	734044	745752	720066	329373	661564	810164
2	1.264	62.0232	893688	935234	1038397	930327	1081204	986699	863818	903835	560369	881332	912232	1096086	981572	906561	1000081	1012537	854482	913072	963145	898695	1085180	745138	999554	545396	457107	616267	774094	641692	572676	602589	780804	711449	624117	679462	569236	685041	508439	331991	438553	501228	577627	644612	743134	749146	730241	784588	656572	103574
3	1.368	65.00886	144881	192305	173537	168982	126539	152247	141854	147025	175111	170560	144358	185563	146997	191215	186091	127863	146939	151217	155140	126541	196013	167113	179555	175377	96110	66420	79750	75412	69522	65031	82360	80654	74106	58328	63080	109053	50674	74613	37164	52449	49763	85464	69017	96553	107163	92628	65585	95316
4	1.316	65.00901	114959	178162	160688	168982	140562	136942	141854	147025	163357	170560	139480	150443	161930	191215	186091	121912	151755	143733	152557	142747	164304	129366	168067	171399	96110	66770	89145	75412	69909	73644	85882	80654	91126	58328	64255	109464	57889	74613	44331	56454	51137	93384	70982	99341	119484	107460	91259	95316
5	1.309	70.01199	392333	461550	524897	315058	378682	632481	611006	834454	576172	662060	737196	288857	354956	601581	667662	595624	438738	394553	493384	385725	364093	606941	244654	325754	23549	53565	31614	8427	775800	305232	305207	369304	670701	407822	703328	18473	858736	457638	695762	771500	411670	260702	50710	0	24328	40870	0	245103
6	1.422	72.08014	4567	18123	4747	6115	12118	18842	91203	13907	10034	296436	47056	18000	87488	45908	19731	6637	6417	5051	2191	9277	201777	2615	12257	8502	140220	165363	91461	67286	203524	373199	213214	1049958	211527	374667	388811	54812	970810	1673712	1720005	1004846	183059	222512	229672	46006	86212	130799	38618	116379
7	1.336	73.02306	213036	235500	212321	244303	293955	223428	216887	228707	255917	271682	237085	267675	252695	209230	272610	184601	206159	192793	243518	178049	202755	213281	200520	249288	130780	96670	112470	95799	76366	114219	148033	125869	151571	125106	96353	149687	103487	120693	61599	85709	124320	105423	133064	129964	110763	127478	170069	192983
8	1.292	73.02624	207644	242090	241429	244303	288769	231077	216887	228707	255917	291231	237085	267675	223932	209230	312280	184601	213562	241825	283991	142118	252767	213281	203134	243372	148177	126133	141013	107084	98467	126677	137735	161255	158305	127290	117487	150464	122151	124644	73146	100880	126306	139778	141802	152431	132019	127478	132874	192983
9	1.273	73.45954	100439	124340	135519	131664	130348	119361	125812	129925	127285	132869	132049	179665	125309	146339	136008	144835	111150	106443	166138	111264	153112	125644	119513	137254	96479	92228	79037	73332	58000	90603	65370	118535	74147	52116	83944	108391	65561	59471	60221	42089	78243	106382	71860	123255	72932	106844	107357	100872
