Sample,Species,CO2,Water,Nitrogen
S1,S,AC,D,N+
S2,S,AC,D,N-
S3,S,AC,W,N+
S4,S,AC,W,N-
S5,S,AC,D,N+
S6,S,AC,D,N-
S7,S,AC,W,N+
S8,S,AC,W,N-
S9,S,AC,D,N+
S10,S,AC,D,N-
S11,S,AC,W,N-
S12,S,AC,W,N+
S13,S,EC,D,N+
S14,S,EC,D,N-
S15,S,EC,W,N+
S16,S,EC,W,N-
S17,S,EC,D,N+
S18,S,EC,D,N-
S19,S,EC,W,N+
S20,S,EC,W,N-
S21,S,EC,D,N+
S22,S,EC,D,N-
S23,S,EC,W,N-
S24,S,EC,W,N+
B1,B,AC,D,N+
B2,B,AC,D,N-
B3,B,AC,W,N+
B4,B,AC,W,N-
B5,B,AC,D,N+
B6,B,AC,D,N-
B7,B,AC,W,N+
B8,B,AC,W,N-
B9,B,AC,D,N+
B10,B,AC,D,N-
B11,B,AC,W,N-
B12,B,AC,W,N+
B13,B,EC,D,N+
B14,B,EC,D,N-
B15,B,EC,W,N+
B16,B,EC,W,N-
B17,B,EC,D,N+
B18,B,EC,D,N-
B19,B,EC,W,N+
B20,B,EC,W,N-
B21,B,EC,D,N+
B22,B,EC,D,N-
B23,B,EC,W,N-
B24,B,EC,W,N+
